,title,movie_url,release_year,rating,runtime,genres,cast,description
0,A Christmas Story,https://www.imdb.com//title/tt0085334/?ref_=adv_li_tt,(1983),7.9,93 min,"Comedy, Family","PG
|
93 min
|

Comedy, Family","PG
|
93 min
|

Comedy, Family"
1,Black Adam,https://www.imdb.com//title/tt6443346/?ref_=adv_li_tt,(2022),6.7,125 min,"Action, Adventure, Fantasy","PG-13
|
125 min
|

Action, Adventure, Fantasy","PG-13
|
125 min
|

Action, Adventure, Fantasy"
2,Love Actually,https://www.imdb.com//title/tt0314331/?ref_=adv_li_tt,(2003),7.6,135 min,"Comedy, Drama, Romance","R
|
135 min
|

Comedy, Drama, Romance","R
|
135 min
|

Comedy, Drama, Romance"
3,Where the Crawdads Sing,https://www.imdb.com//title/tt9411972/?ref_=adv_li_tt,(2022),7.1,125 min,"Drama, Mystery, Thriller","PG-13
|
125 min
|

Drama, Mystery, Thriller","PG-13
|
125 min
|

Drama, Mystery, Thriller"
4,Avatar,https://www.imdb.com//title/tt0499549/?ref_=adv_li_tt,(2009),7.8,162 min,"Action, Adventure, Fantasy","PG-13
|
162 min
|

Action, Adventure, Fantasy","PG-13
|
162 min
|

Action, Adventure, Fantasy"
5,Elf,https://www.imdb.com//title/tt0319343/?ref_=adv_li_tt,(2003),7.0,97 min,"Adventure, Comedy, Family","PG
|
97 min
|

Adventure, Comedy, Family","PG
|
97 min
|

Adventure, Comedy, Family"
6,Enchanted,https://www.imdb.com//title/tt0461770/?ref_=adv_li_tt,(2007),7.1,107 min,"Animation, Adventure, Comedy","PG
|
107 min
|

Animation, Adventure, Comedy","PG
|
107 min
|

Animation, Adventure, Comedy"
7,Amsterdam,https://www.imdb.com//title/tt10304142/?ref_=adv_li_tt,(2022),6.1,134 min,"Comedy, Drama, History","R
|
134 min
|

Comedy, Drama, History","R
|
134 min
|

Comedy, Drama, History"
8,How the Grinch Stole Christmas,https://www.imdb.com//title/tt0170016/?ref_=adv_li_tt,(2000),6.2,104 min,"Comedy, Family, Fantasy","PG
|
104 min
|

Comedy, Family, Fantasy","PG
|
104 min
|

Comedy, Family, Fantasy"
9,The Batman,https://www.imdb.com//title/tt1877830/?ref_=adv_li_tt,(2022),7.8,176 min,"Action, Crime, Drama","PG-13
|
176 min
|

Action, Crime, Drama","PG-13
|
176 min
|

Action, Crime, Drama"
10,Pearl,https://www.imdb.com//title/tt18925334/?ref_=adv_li_tt,(2022),7.0,103 min,Horror,"R
|
103 min
|

Horror","R
|
103 min
|

Horror"
11,Guillermo del Toro's Pinocchio,https://www.imdb.com//title/tt1488589/?ref_=adv_li_tt,(2022),8.0,117 min,"Animation, Drama, Family","PG
|
117 min
|

Animation, Drama, Family","PG
|
117 min
|

Animation, Drama, Family"
12,See How They Run,https://www.imdb.com//title/tt13640696/?ref_=adv_li_tt,(2022),6.5,98 min,"Comedy, Mystery","PG-13
|
98 min
|

Comedy, Mystery","PG-13
|
98 min
|

Comedy, Mystery"
13,Thor: Love and Thunder,https://www.imdb.com//title/tt10648342/?ref_=adv_li_tt,(2022),6.3,118 min,"Action, Adventure, Comedy","PG-13
|
118 min
|

Action, Adventure, Comedy","PG-13
|
118 min
|

Action, Adventure, Comedy"
14,The Grinch,https://www.imdb.com//title/tt2709692/?ref_=adv_li_tt,(2018),6.3,85 min,"Animation, Comedy, Family","PG
|
85 min
|

Animation, Comedy, Family","PG
|
85 min
|

Animation, Comedy, Family"
15,The Shawshank Redemption,https://www.imdb.com//title/tt0111161/?ref_=adv_li_tt,(1994),9.3,142 min,Drama,"R
|
142 min
|

Drama","R
|
142 min
|

Drama"
16,The Polar Express,https://www.imdb.com//title/tt0338348/?ref_=adv_li_tt,(2004),6.6,100 min,"Animation, Adventure, Comedy","G
|
100 min
|

Animation, Adventure, Comedy","G
|
100 min
|

Animation, Adventure, Comedy"
17,The Wolf of Wall Street,https://www.imdb.com//title/tt0993846/?ref_=adv_li_tt,(2013),8.2,180 min,"Biography, Comedy, Crime","R
|
180 min
|

Biography, Comedy, Crime","R
|
180 min
|

Biography, Comedy, Crime"
